Sex,Age,HeadLn,HeadWd,Neck,Length,Chest,Weight
1,19,11,5.5,16,53,26,80
1,55,16.5,9,28,67.5,45,344
1,81,15.5,8,31,72,54,416
1,115,17,10,31.5,72,49,348
1,56,15,7.5,26.5,73.5,41,262
1,51,13.5,8,27,68.5,49,360
1,68,16,9,29,73,44,332
1,8,9,4.5,13,37,19,34
1,32,14,5,21.5,67,37,180
1,32,13,8,21.5,59,33,166
1,45,13.5,7,24,64,39,204
1,21,13,6,19,59,30,120
1,177,16,9.5,30,72,48,436
1,21,13,5,17,54,28,90
1,9,10,4,13,40,23,40
1,45,16,6,24,63,42,220
1,9,10,4,13.5,43,23,46
1,33,13.5,6,22,66.5,34,154
1,21,14.5,5.5,20,61,34,150
1,10,9.5,4.5,16,40,26,65
1,10,11,5,17,49,29,94
1,10,11.5,5,17,47,29.5,86
1,34,13,7,21,59,35,150
1,34,16.5,6.5,27,72,44.5,270
1,34,14,5.5,24,65,39,202
1,58,15.5,7,28,70.5,50,365
1,11,11.5,6,16.5,48,31,79
1,23,12,6.5,19,50,38,148
1,70,15.5,7,28,76.5,55,446
1,35,13.5,8.5,23,63.5,44,212
1,16,10,4,15.5,48,26,60
1,16,10,5,15,41,26,64
1,17,11.5,5,17,53,30.5,114
1,83,15.5,8,30.5,75,54,514
1,18,12.5,8.5,18,57.3,32.8,140
2,104,15.5,6.5,22,62,35,166
2,100,13,7,21,70,41,220
2,57,13.5,7,20,64,38,204
2,53,12.5,6,18,58,31,144
2,44,12.5,4.5,10.5,63,32,140
2,20,11.5,5,17.5,52,29,105
2,9,9,4.5,12,36,19,26
2,57,12.5,5,19,57.5,32,125
2,81,13,5,20,61,33,132
2,57,13,5.5,17.5,60.5,31,116
2,45,13,6.5,21,60,34.5,182
2,82,13.5,6.5,28,64,48,356
2,70,14.5,6.5,26,65,48,316
2,58,13.5,6.5,21.5,63,40,202
2,11,9,5,15,46,27,62
2,83,14.5,7,23,61.5,44,236
2,17,11.5,5,15,52.5,28,76
2,17,11,4.5,13,46,23,48
2,8,10,4.5,10,43.5,24,29
