Favorite,Brain Damage,Stupidity Index
Moe,27,21
Moe,29,41
Moe,47,48
Moe,28,15
Moe,22,26
Moe,42,31
Moe,25,15
Moe,27,30
Moe,23,26
Moe,24,31
Moe,21,23
Moe,50,47
Moe,22,26
Moe,39,22
Moe,9,28
Moe,30,17
Moe,22,33
Moe,45,43
Moe,34,39
Moe,30,32
Moe,19,20
Moe,36,27
Moe,32,19
Moe,32,25
Moe,27,19
Larry,31,21
Larry,48,42
Larry,25,43
Larry,23,11
Larry,10,8
Larry,26,27
Larry,18,20
Larry,32,39
Larry,13,0
Larry,39,24
Larry,22,15
Larry,28,27
Larry,29,35
Larry,13,23
Larry,32,31
Larry,21,28
Larry,10,9
Larry,41,36
Larry,13,15
Larry,40,37
Larry,37,37
Larry,9,14
Larry,24,7
Larry,32,8
Larry,21,12
Curly,39,43
Curly,28,36
Curly,26,31
Curly,16,18
Curly,23,29
Curly,40,37
Curly,38,38
Curly,42,46
Curly,23,28
Curly,22,21
Curly,38,35
Curly,31,26
Curly,29,43
Curly,45,51
Curly,44,47
Curly,26,18
Curly,30,30
Curly,31,35
Curly,20,26
Curly,27,44
Curly,34,34
Curly,38,28
Curly,23,32
Curly,28,26
Curly,47,64
